id;first_name;last_name;email;phone;role
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;+33 247263127;MANAGER
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;0364507298;ADMIN
3;Adalsinde;Perrin;Francia48@yahoo.fr;+33 677652803;MANAGER
4;Adalbald;Blanchard;Charlotte.Fleury@yahoo.fr;0295853935;ADMIN
5;Aurelle;Pierre;Simon49@hotmail.fr;0711301236;EMPLOYEE
6;Charlaine;Adam;Alpinien.Meunier@yahoo.fr;+33 797612165;EMPLOYEE
7;Béatrice;Guillaume;Flicie.Lambert99@yahoo.fr;+33 165419412;ADMIN
8;Ansberte;Colin;Agathon.Schneider@yahoo.fr;0100268641;EMPLOYEE
9;Cassien;Marty;Doriane43@gmail.com;+33 680711227;EMPLOYEE
10;Alexanne;Barbier;Rose.Lecomte@gmail.com;+33 250093013;ADMIN
